feature,importance
Init_Win_bytes_forward,0.41882060850956804
Bwd Packet Length Std,0.22395718865941697
Average Packet Size,0.09740948745054019
Bwd Header Length,0.08087169182708413
Max Packet Length,0.076174005143816
Destination Port,0.05142315816537403
min_seg_size_forward,0.009385333989853811
Bwd IAT Mean,0.006691532479848615
Fwd Header Length,0.0063063998269642105
Init_Win_bytes_backward,0.0052515150403853565
Fwd Packet Length Std,0.0037601005559900276
Bwd IAT Max,0.0030958083259987577
Total Length of Fwd Packets,0.0026232696895818726
FIN Flag Count,0.002171459492495513
Flow IAT Min,0.0019484024643292453
Fwd IAT Min,0.0018844085157911437
Subflow Bwd Bytes,0.001692445490964824
SYN Flag Count,0.0014646365343961131
Source Port,0.0007759946347935607
Subflow Fwd Bytes,0.0006391652327972003
Flow IAT Std,0.0005751240517494497
Bwd Packet Length Max,0.0004555299464108515
Fwd Packet Length Min,0.00038845386560000967
Avg Bwd Segment Size,0.00038176421387200185
Flow Packets/s,0.00033598823967918666
Idle Max,0.00020814610501775261
Bwd IAT Min,0.00020587957441285765
Fwd IAT Max,0.00019210868082359788
Flow Bytes/s,0.0001659998418405711
Fwd Header Length.1,0.00014801449766998166
URG Flag Count,0.00014123260167003102
Idle Min,0.00012910156214476155
Bwd Packet Length Min,5.24261531931058e-05
Down/Up Ratio,4.608237057817017e-05
Fwd Packets/s,4.240991754028355e-05
Fwd Packet Length Max,4.028605106547416e-05
Flow IAT Mean,2.7411499709395396e-05
ACK Flag Count,2.1859996996016918e-05
Fwd Packet Length Mean,2.172914367618796e-05
Fwd IAT Total,1.707167038117951e-05
Flow Duration,1.6252635765127822e-05
Subflow Bwd Packets,1.5953136239646217e-05
Flow IAT Max,6.249172520876591e-06
Subflow Fwd Packets,5.4706331906764635e-06
Active Min,3.588714687494417e-06
Fwd IAT Std,3.5177320575524213e-06
Packet Length Std,1.8129865217334433e-06
Total Fwd Packets,1.6623691799279825e-06
Packet Length Variance,7.390914490858319e-07
act_data_pkt_fwd,5.109417930395734e-07
Fwd IAT Mean,4.624363390925049e-07
Active Mean,3.9394686295168435e-07
Total Length of Bwd Packets,1.541893721962049e-07
Protocol,0.0
Total Backward Packets,0.0
Bwd Packet Length Mean,0.0
Min Packet Length,0.0
Bwd Packets/s,0.0
Fwd URG Flags,0.0
Fwd PSH Flags,0.0
Bwd IAT Total,0.0
Bwd IAT Std,0.0
RST Flag Count,0.0
Packet Length Mean,0.0
Avg Fwd Segment Size,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
PSH Flag Count,0.0
Active Max,0.0
Active Std,0.0
Idle Std,0.0
Idle Mean,0.0
