feature,importance
Init_Win_bytes_forward,0.05922880339932414
Destination Port,0.05750878735220542
Avg Bwd Segment Size,0.04801461866323873
Bwd Packet Length Max,0.03934205898575356
Min Packet Length,0.03819137340213382
Bwd Packet Length Mean,0.03532443349574764
Packet Length Std,0.03363018284550949
Init_Win_bytes_backward,0.033286883966483355
Bwd Packet Length Std,0.031205586900315493
Max Packet Length,0.030849412219050285
Average Packet Size,0.030310568217015568
Fwd Packet Length Min,0.02901481725557084
Packet Length Variance,0.027226295611304584
Total Length of Fwd Packets,0.02678071496976393
Subflow Fwd Bytes,0.026209781373885993
Source Port,0.02506677613715913
Total Length of Bwd Packets,0.024105881804366135
Packet Length Mean,0.02375416974333648
Fwd Packet Length Max,0.02182399947365015
Avg Fwd Segment Size,0.02061676165223972
Bwd Packet Length Min,0.020458996995813092
Fwd Packet Length Mean,0.017984140778957724
Subflow Bwd Bytes,0.01718997112227321
Protocol,0.015206566257372687
Fwd IAT Mean,0.014465701510512791
Subflow Fwd Packets,0.013750249111916912
Fwd Header Length.1,0.013402390755584385
Fwd Header Length,0.01334130852372629
Fwd IAT Max,0.012295502837714032
Fwd IAT Min,0.011378464923945309
min_seg_size_forward,0.011103523356035743
Bwd Packets/s,0.010155042466415153
Total Fwd Packets,0.010055782439389142
Flow Bytes/s,0.009389538761297517
ACK Flag Count,0.009369371873326943
Bwd Header Length,0.009057321631008742
Flow IAT Mean,0.008194819536453936
Total Backward Packets,0.00814220779363441
Flow IAT Max,0.007868434313414274
PSH Flag Count,0.007837032435961065
Subflow Bwd Packets,0.007382902792946294
Flow Duration,0.006980849670641357
Fwd Packet Length Std,0.006714576119006003
Fwd IAT Total,0.00612632917776865
act_data_pkt_fwd,0.006003753976346442
Flow IAT Min,0.005962491616440364
Bwd IAT Min,0.005432184909462
Bwd IAT Mean,0.005402473613411729
Flow IAT Std,0.0052860379427164764
Bwd IAT Total,0.005063730324915225
Bwd IAT Max,0.004886638406033246
Fwd IAT Std,0.0043951181415550515
Down/Up Ratio,0.004126778993649065
Flow Packets/s,0.0038057814643062743
Fwd Packets/s,0.0037613919356984772
Idle Max,0.002863257229217582
Idle Min,0.002567663414036373
Idle Mean,0.0020247346298911356
URG Flag Count,0.001826756405966624
Bwd IAT Std,0.0017881557239224273
FIN Flag Count,0.001383811159869862
Active Max,0.00106034735443018
SYN Flag Count,0.000790903876577933
Active Min,0.0006680999679872717
Active Std,0.0006402830146086272
Active Mean,0.0005940728046983296
Fwd PSH Flags,0.00022131862668709206
Idle Std,7.968068473039266e-05
Fwd URG Flags,1.1098890193246653e-05
CWE Flag Count,1.050223947838631e-05
ECE Flag Count,0.0
RST Flag Count,0.0
