feature,coefficient,abs_coefficient
Flow IAT Max,-30.31755868671102,30.31755868671102
Idle Max,21.439556245721505,21.439556245721505
Max Packet Length,-20.12368758759227,20.12368758759227
Packet Length Variance,19.40970197488888,19.40970197488888
Packet Length Mean,-18.510775604806557,18.510775604806557
Average Packet Size,18.05845688079546,18.05845688079546
Bwd Packet Length Max,17.305660991461927,17.305660991461927
Active Max,-16.214539219396606,16.214539219396606
Fwd IAT Max,15.467212729094712,15.467212729094712
Flow IAT Std,14.683542312594282,14.683542312594282
Fwd IAT Mean,-11.260290489772958,11.260290489772958
Fwd Packet Length Std,-10.892843919903193,10.892843919903193
Idle Min,-10.48288947050081,10.48288947050081
Fwd IAT Min,9.614384852845975,9.614384852845975
Active Mean,8.85881096352261,8.85881096352261
Flow Duration,8.390631091449768,8.390631091449768
Idle Mean,-8.000448978693909,8.000448978693909
Flow IAT Mean,-6.362169434261403,6.362169434261403
Fwd IAT Std,6.196784834094468,6.196784834094468
Flow IAT Min,5.675882278272987,5.675882278272987
Fwd Packet Length Max,5.432878447613235,5.432878447613235
Protocol,-5.379518153732857,5.379518153732857
Active Std,5.1362611307301655,5.1362611307301655
Bwd IAT Total,-4.615365952541129,4.615365952541129
Fwd IAT Total,-4.280530325214415,4.280530325214415
Packet Length Std,-4.23412864127039,4.23412864127039
Idle Std,-3.955645337788195,3.955645337788195
Subflow Bwd Packets,-3.8659519332155794,3.8659519332155794
Total Backward Packets,-3.8659519332155794,3.8659519332155794
Subflow Bwd Bytes,-2.3213888471925896,2.3213888471925896
Total Length of Bwd Packets,-2.3213305212405584,2.3213305212405584
Bwd IAT Max,2.180985140806854,2.180985140806854
act_data_pkt_fwd,-2.0919093409800795,2.0919093409800795
ACK Flag Count,-1.9186532846293762,1.9186532846293762
Avg Fwd Segment Size,1.7159766461697377,1.7159766461697377
Fwd Packet Length Mean,1.7159766461695656,1.7159766461695656
Subflow Fwd Packets,-1.6963989578261172,1.6963989578261172
Total Fwd Packets,-1.6963989578261172,1.6963989578261172
PSH Flag Count,-1.6167702543433948,1.6167702543433948
Flow Packets/s,1.4530572899445493,1.4530572899445493
Min Packet Length,-1.3109562430459019,1.3109562430459019
Bwd IAT Min,-1.3038538396644939,1.3038538396644939
Fwd Packets/s,-1.2650138875673502,1.2650138875673502
Active Min,1.1717739251868562,1.1717739251868562
Flow Bytes/s,-1.1136872918811154,1.1136872918811154
Fwd Packet Length Min,-1.1084612842143409,1.1084612842143409
URG Flag Count,-1.1031812778628067,1.1031812778628067
Avg Bwd Segment Size,-1.0224039833447696,1.0224039833447696
Bwd Packet Length Mean,-1.022403983340264,1.022403983340264
FIN Flag Count,-0.9490736192216068,0.9490736192216068
Bwd Packet Length Std,0.7975202806188502,0.7975202806188502
Bwd IAT Mean,0.7659889720843676,0.7659889720843676
Down/Up Ratio,0.7288370757033584,0.7288370757033584
Init_Win_bytes_backward,-0.6830457803580281,0.6830457803580281
Destination Port,-0.665421428322163,0.665421428322163
Source Port,0.40593347536232566,0.40593347536232566
Subflow Fwd Bytes,0.30137928391613006,0.30137928391613006
Bwd Packet Length Min,-0.28101035912714967,0.28101035912714967
Bwd Packets/s,-0.2503906109914205,0.2503906109914205
Fwd PSH Flags,-0.1585372067779444,0.1585372067779444
SYN Flag Count,-0.1585372067779444,0.1585372067779444
RST Flag Count,-0.13225265180418164,0.13225265180418164
ECE Flag Count,-0.13222473323030978,0.13222473323030978
CWE Flag Count,-0.12577754839860295,0.12577754839860295
Fwd URG Flags,-0.12577754839860295,0.12577754839860295
min_seg_size_forward,0.1151602065898146,0.1151602065898146
Bwd IAT Std,-0.08576514458896528,0.08576514458896528
Init_Win_bytes_forward,-0.0601383230296607,0.0601383230296607
Bwd Header Length,0.023386192601522256,0.023386192601522256
Total Length of Fwd Packets,0.01817028216402054,0.01817028216402054
Fwd Header Length,0.010542930338404822,0.010542930338404822
Fwd Header Length.1,0.010542930338404822,0.010542930338404822
